   169/299     7.43G   0.01872   0.01524  0.001557   0.03551        28       640    0.9788    0.9779    0.9881    0.8116     0.033   0.06039  0.008506
   170/299     7.43G   0.01781   0.01474  0.001363   0.03392       182       640     0.973    0.9818    0.9878    0.8123   0.03226   0.06116  0.008591
   171/299     7.43G   0.01881   0.01529  0.001496    0.0356        89       640    0.9818    0.9752     0.988    0.8103   0.03296    0.0621  0.008645
   172/299     7.43G   0.01813   0.01496  0.001607   0.03469        67       640    0.9778    0.9788    0.9888    0.8063   0.03239   0.06118  0.008544
   173/299     7.43G   0.01784    0.0151   0.00153   0.03447        48       640    0.9771    0.9791    0.9898    0.8115   0.03238   0.05976  0.008524
   174/299     7.43G   0.01821   0.01453  0.001435   0.03418        48       640    0.9764    0.9831    0.9873    0.8099   0.03257   0.06091  0.008414
   175/299     7.43G   0.01827   0.01471   0.00149   0.03447        90       640    0.9786    0.9823    0.9863    0.8081   0.03262   0.06189   0.00852
   176/299     7.43G   0.01787   0.01653  0.001563   0.03596        87       640    0.9799    0.9794    0.9857    0.8134   0.03201   0.06152  0.008577
   177/299     7.43G   0.01751   0.01443   0.00156   0.03349       132       640     0.978    0.9793    0.9851    0.8101   0.03227   0.05999  0.008528
   178/299     7.43G   0.01754   0.01496  0.001226   0.03372        46       640    0.9751    0.9854    0.9848    0.8132   0.03164   0.05956  0.008429
   179/299     7.43G   0.01767   0.01498  0.001403   0.03406        45       640    0.9763    0.9823    0.9861    0.8115   0.03222   0.05965   0.00827
   180/299     7.43G   0.01749   0.01508   0.00134   0.03392       134       640    0.9751    0.9817    0.9852    0.8081   0.03194   0.05996  0.008277
   181/299     7.43G   0.01818   0.01554  0.001458   0.03518        52       640    0.9781    0.9792    0.9867    0.8105   0.03181   0.06124   0.00838
   182/299     7.43G   0.01707   0.01331   0.00132    0.0317        29       640    0.9756    0.9831    0.9881    0.8142   0.03177    0.0616  0.008269
   183/299     7.43G   0.01786   0.01424  0.001557   0.03365       163       640    0.9763    0.9801    0.9871    0.8156   0.03182   0.06078   0.00835
   184/299     7.43G   0.01732   0.01569  0.001568   0.03457        70       640    0.9688    0.9902    0.9879    0.8137   0.03187   0.05912  0.008271
   185/299     7.43G   0.01697   0.01419  0.001179   0.03234        57       640    0.9804     0.982     0.988    0.8144   0.03215   0.05971  0.008178
   186/299     7.43G   0.01775   0.01474  0.001504   0.03399        38       640    0.9746    0.9856    0.9886    0.8155   0.03228   0.05984  0.008322
   187/299     7.43G   0.01714   0.01341  0.001098   0.03165        73       640    0.9759    0.9841    0.9891    0.8152   0.03201   0.05952  0.008142
